shortname,Jname,FINALNUM,FINAL,Spt_unc,TAGS,Code,Comment,USEVERSION,USECOLOR,Keep/Skip/maintain,extra1,extra2,Disc,Spec,ID,Priority,Type,Dist_J,Dist_W2,RA SXG,DE SXG,Jdesignation,catWISE RA,catWISE Dec,i,ei,z,ez,y,ey,opt ref,W1,eW1,W2,eW2,Y,eY,J,eJ,H,eH,K,eK,NIR ref,plx,eplx,plx_ref,PMRA,ePMRA,PMDE,ePMDE,PM_ref,PMTot,Vtan,Phototype,Spectral Type,SpT_Comments,Spectrum Date,Spectrum Instrument,Spectrum Observers,Submitted Name,SIMBAD,Vizier,IRSA_Finder,GSA,wiseview,BΣ_distance_Checkup,BΣ_distance,BΣ_PROB,BΣ_YMGs,BΣ_Hyp,Date Added,NumType,In BASS UltraCool,Flags,Notes
0000-4614,J000016.28-461456.4,27.0,T7,1,d,NewDisc,,,,keep,,,EastonH,EastonH,3215.0,DONE,T7,32.9 pc,37.4 pc,00:00:16.29,-46:14:56.4,J000016.28-461456.4,0.0678658,-46.2490076,,,,,,,,18.08,0.107,16.01,0.063,,,18.192,0.036,18.567,0.094,18.147,0.152,VHS,,,,143.5,18.5,-118.4,18.6,NSC DR2,186.0,33.0,24.8,T7,,230629.0,FIRE Prism,"Jackie, Austin R.",MartinKb,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,211008.0,27.0,,,
0001-0613,J000149.45-061336.7,25.0,T5,1,d,NewDisc,,,,keep,,,EastonH,EastonH,3049.0,DONE,T5,29.2 pc,33.0 pc,00:01:49.45,-06:13:36.7,J000149.45-061336.7,0.456046,-6.2268661,,,,,,,,16.707,0.047,15.154,0.034,18.212,0.042,16.845,0.018,16.974,0.046,16.949,0.072,VHS,,,,-23.6,3.2,-26.8,3.2,VHS (Adam),35.7,5.6,24.6,T5,,211022.0,SpeX Prism,Faherty & Calamari,"Arttu Sainio, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,210312.0,25.0,,,"co-mover in Gaia? (000.45855917026	-06.21752051328); proper motions are incosistent, but looks possible"
0011-0521B,J001115.03-521004.8,12.0,L2,1,d,NewDisc,A?,,,keep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012+5159,J001224.43+515918.5,12.0,L2,1,d,NewSpec,see aus note,,,keep,,,CR18,EastonH,961.0,DONE,L1,30.8 pc,35.8 pc,00:12:24.44, 51:59:18.6,J001224.43+515918.5,3.1018243,51.9884918,,,,,,,,13.327,0.023,12.99,0.016,16.443,0.007,14.461,0.004,13.821,0.03,13.309,0.004,"UHS DR3, 2MASS (H), PS1",31.145,0.3,GaiaDR3,-516.7,0.2,-188.7,0.3,GaiaDR3,550.1,83.7,10.1,L1,L1pec,181124.0,SpeX Prism,Faherty,"Melina ThÈvenot, Sam Goodman, Giovanni Colombo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,11.0,,,L0.5 phototype in Reyle+2018
0018+5650,J001832.79+565013.6,25.0,T5,1,d,NewSpec,,,,keep,,,"WB20, Azul",EastonH,1794.0,DONE,T4.5,22.1 pc,22.9 pc,00:18:32.79, 56:50:13.7,J001832.79+565013.6,4.6366352,56.837134,,,,,,,,15.454,0.02,14.257,0.016,,,16.152,0.012,16.271,0.024,16.274,0.044,UHS DR3,46.5,3.9,Best20,375.9,3.2,10.4,2.7,Best20,376.0,38.3,23.9,T4.5,,220108.0,SpeX Prism,Faherty,Dan Caselden,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,24.5,,,
0020-1535,J002030.53-153543.6,10.0,L0,1,d,NewSpec,disc Roth24,,,keep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022-0652,J002231.24-065201.0,23.0,T3,1,d,maintain,,,,m,r,"PSO J005.6302-06.8669, keep for colors",WB20,WB20,4.0,DONE,T3,21.4 pc,19.7 pc,00:22:31.25,-06:52:01.1,J002231.24-065201.0,5.6302029,-6.8669649,,,,,,,,14.463,0.016,13.702,0.014,18.613,0.026,16.095,0.005,15.575,0.107,15.159,0.011,"VHS, 2MASS (H), PS1",30.6,3.0,Best20,-106.7,2.3,-7.2,2.3,Best20,106.9,16.6,19.8,T3,red,181124.0,SpeX Prism,Faherty,"stevnbak, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,OK,25.9,99.9,CUMA,CUMA,180926.0,23.0,,YMG,
0025-1346,J002507.85-134647.9,12.5,L2.5,1,d,NewDisc,,,,k,,,EastonH,EastonH,774.0,DONE,L1.5,49.2 pc,44.6 pc,00:25:07.85,-13:46:48.0,J002507.85-134647.9,6.2827283,-13.779989,,,,,,,,13.878,0.014,13.524,0.012,16.676,0.012,15.545,0.006,14.816,0.072,14.385,0.008,"VHS, 2MASS (H), PS1",22.96,1.263,GaiaDR3,-119.9,1.3,-132.8,1.7,GaiaDR3,178.9,36.9,15.9,L1.5,,180930.0,SpeX Prism,Faherty students,"Melina ThÈvenot, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,11.5,,,
0029-3119,J002900.98-311937.5,14.0,L4,1,d,NewSpec,,,,k,,,CR18,EastonH,1026.0,DONE,L1.5,47.4 pc,43.6 pc,00:29:00.99,-31:19:37.6,J002900.98-311937.5,7.2541161,-31.3270992,,,,,,,,13.761,0.013,13.473,0.011,16.668,0.006,15.463,0.003,14.82,0.003,14.322,0.004,VIKING,20.105,0.979,GaiaDR3,-68.5,1.0,-62.5,0.8,GaiaDR3,92.7,21.9,14.4,L1.5,Field,180930.0,SpeX Prism,Faherty students,"Melina ThÈvenot, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,11.5,,,L1 photometric type in Reyle+2018
0034-2632,J003424.66-263227.4,8.0,d/sdM8,1,sd,NewDisc,,,,k,,,EastonH,EastonH,1032.0,DONE,M8,215.7 pc,121.8 pc,00:34:24.66,-26:32:27.5,J003424.66-263227.4,8.6027613,-26.5409666,,,,,,,,15.069,0.017,14.735,0.022,17.932,0.048,16.286,0.006,15.769,0.14,15.449,0.014,"VHS, 2MASS (H), PS1",10.895,1.789,GaiaDR3,-47.7,1.7,-126.9,1.9,GaiaDR3,135.6,59.0,15.6,M8,d/sd,181124.0,SpeX Prism,Faherty,"Sam Goodman, wpendrill",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,8.0,,,
0041-4019,J004143.77-401929.9,28.0,T8,1,d,maintain,,,,m,r,"same 2018spec. not new, use for colors",RG12,JDK21,9.0,DONE,T8,13.5 pc,19.4 pc,00:41:43.78,-40:19:29.9,J004143.77-401929.9,10.4324127,-40.324977,,,,,,,,17.037,0.048,15.016,0.025,,,17.393,0.013,,,17.163,0.052,VHS,76.7,9.6,Kirk21,1196.6,1.7,-958.1,1.3,Kirk21,1532.9,94.7,25.8,T8,Pec; Also observed with FIRE Prism on 171203 (Obs Schwabb Gonzales Gagne); spt T8,180923.0,FIRE Echelle,Popinchalk; Gagne,"telmahsel, Dan & Guillaume, Sam Goodman, Austin Rothermich",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,28.0,,,OBSERVED by Ellie; Eileen and Jonathan with FIRE PRISM - it is a late-T. Previously a YMG candidate but not anymore.
0103+2626,J010321.26+262603.7,12.5,L2.5,1,d,NewSpec,,,,k,,,CR18,EastonH,909.0,DONE,L2,43.8 pc,41.2 pc,01:03:21.26, 26:26:03.7,J010321.26+262603.7,15.8385837,26.4343703,,,,,,,,13.727,0.013,13.407,0.012,17.462,0.008,15.362,0.006,14.694,0.008,14.14,0.007,UHS DR3,29.054,1.274,GaiaDR3,-192.8,1.0,-46.8,1.1,GaiaDR3,198.4,32.4,14.6,L2,field,180930.0,SpeX Prism,Faherty students,"stevnbak, Melina ThÈvenot, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,12.0,,,In Late-Movers; L2.5 phototype in Reyle+2018
